"university_name","unit_type","unit_name","parent_unit","campus_or_city","focus_areas","official_url","notes","last_verified"
"University of Vaasa","School","School of Accounting and Finance","","Vaasa","Accounting; Finance","https://www.uwasa.fi/en/about/organization","Official organization page.","2026-03-14"
"University of Vaasa","School","School of Management","","Vaasa","Management; Public management","https://www.uwasa.fi/en/about/organization","Official organization page.","2026-03-14"
"University of Vaasa","School","School of Marketing and Communication","","Vaasa","Marketing; Communication","https://www.uwasa.fi/en/about/organization","Official organization page.","2026-03-14"
"University of Vaasa","School","School of Technology and Innovations","","Vaasa","Technology; Information systems; Industrial management","https://www.uwasa.fi/en/about/organization","Official organization page.","2026-03-14"
